snapped_at,price,market_cap,total_volume
2021-03-19 00:00:00 UTC,79.5858698299889,10849638.05130953,733734.125017776
2021-03-20 00:00:00 UTC,86.25119068539648,11576276.804263735,928841.5833428652
2021-03-21 00:00:00 UTC,79.23767504824357,10789405.087153565,1006321.2233823491
2021-03-22 00:00:00 UTC,74.53868801567089,10246618.461854719,923962.0244636869
2021-03-23 00:00:00 UTC,68.5034804412277,9432815.910068678,812791.7309051583
2021-03-24 00:00:00 UTC,73.29174411919854,10047033.641709983,925549.8963981044
2021-03-25 00:00:00 UTC,65.79117095032684,9045305.003530348,208614.7412690769
2021-03-26 00:00:00 UTC,66.46752581706893,9172119.10760061,989115.0696675056
2021-03-27 00:00:00 UTC,75.87058003336148,10906020.592191698,828673.3390147572
2021-03-28 00:00:00 UTC,79.82885106409701,11483613.194635533,945011.4036421021
2021-03-29 00:00:00 UTC,79.46015609949995,11411262.528528411,811392.4958353128
2021-03-30 00:00:00 UTC,79.25692631706946,11265793.342784923,636782.7150790652
2021-03-31 00:00:00 UTC,91.63007481514141,13140916.48682044,1858452.8369627367
2021-04-01 00:00:00 UTC,93.39826522108406,13438247.054374374,834688.4842321413
2021-04-02 00:00:00 UTC,101.81886036663492,14772820.604961848,742164.0553653069
2021-04-03 00:00:00 UTC,120.05910622732858,18312751.657162186,623286.5997053788
2021-04-04 00:00:00 UTC,108.98654142513472,16006520.360016042,1866264.4362176615
2021-04-05 00:00:00 UTC,125.06047896747842,18320132.69895342,1863383.455089822
2021-04-06 00:00:00 UTC,172.98369952936295,25353041.744524684,3356034.8918093
2021-04-07 00:00:00 UTC,144.2497596034958,22522765.09592243,2077770.776579157
2021-04-08 00:00:00 UTC,149.63167535655467,23700175.655970577,1079120.3985033804
2021-04-09 00:00:00 UTC,167.2991098152095,25706353.616188653,1333939.6871914498
2021-04-10 00:00:00 UTC,183.1562125763717,27679510.072427664,2488583.377794731
2021-04-11 00:00:00 UTC,191.68400677413186,28958878.186251607,2478666.1187044233
2021-04-12 00:00:00 UTC,184.35129764212158,26901740.324346766,1607703.4244479223
2021-04-13 00:00:00 UTC,178.25368555489308,26313191.193230484,1638659.4358221323
2021-04-14 00:00:00 UTC,185.9632342955051,26957863.955788016,2005081.2132268248
2021-04-15 00:00:00 UTC,181.74986669955635,26786665.254356872,811586.2044337431
2021-04-16 00:00:00 UTC,181.29818082741133,26372370.596695915,1728859.7810774692
2021-04-17 00:00:00 UTC,188.47362004569908,27798017.884611808,1451722.8919243752
2021-04-18 00:00:00 UTC,175.8576271157015,26155988.90785759,921093.0304097332
2021-04-19 00:00:00 UTC,184.54955883917143,27587746.76974027,1611532.8616773598
2021-04-20 00:00:00 UTC,181.4003484589484,26811579.46187439,1649748.5087974758
2021-04-21 00:00:00 UTC,195.7926669074815,29157850.88068174,1313285.3025219291
2021-04-22 00:00:00 UTC,178.72428257177683,26364616.61212461,1101193.2168496472
2021-04-23 00:00:00 UTC,169.23064458313354,25040616.99798901,1247994.114159727
2021-04-24 00:00:00 UTC,147.75724777898662,21996093.707412582,1319973.6206689999
2021-04-25 00:00:00 UTC,129.84626355194675,20382484.08844158,1435319.9759237394
2021-04-26 00:00:00 UTC,130.48320499773467,20174544.76961261,1523970.9406968951
2021-04-27 00:00:00 UTC,160.35190863338414,24769884.52581949,1480088.3184101698
2021-04-28 00:00:00 UTC,156.75372015915346,24290182.72978762,973025.4343696999
2021-04-29 00:00:00 UTC,150.88802627904658,23454056.169685222,990208.9788650243
2021-04-30 00:00:00 UTC,139.74339974150266,21758963.24933242,1080623.1613707042
2021-05-01 00:00:00 UTC,147.2440884322273,22858808.647141676,1284912.5320569621
2021-05-02 00:00:00 UTC,143.13948865456894,22575711.22149403,963123.5206597705
2021-05-03 00:00:00 UTC,125.18314251717305,19223529.00564917,2126039.262270374
2021-05-04 00:00:00 UTC,139.85133754747605,21870914.617172025,1397801.7725018377
2021-05-05 00:00:00 UTC,147.84056180438813,23361388.329764795,1450489.5675077038
2021-05-06 00:00:00 UTC,161.3644957878545,25079073.63548618,1325403.55028701
2021-05-07 00:00:00 UTC,156.7787516300602,24441065.17498271,967897.3667708288
2021-05-08 00:00:00 UTC,150.91922833162556,23347389.813646995,942117.467536089
2021-05-09 00:00:00 UTC,164.39036211785282,25598398.960448705,893091.8865346244
2021-05-10 00:00:00 UTC,172.836050151078,26805369.963546403,829476.3997477373
2021-05-11 00:00:00 UTC,165.31370439400197,25756685.260830354,863192.1615837174
2021-05-12 00:00:00 UTC,165.7778266973405,25792448.586585168,618420.9707021954
2021-05-13 00:00:00 UTC,162.01104804848805,25825080.774326693,653426.0707744721
2021-05-14 00:00:00 UTC,149.97490271150798,23311047.42751209,287328.8941598635
2021-05-15 00:00:00 UTC,166.209431770318,25853723.153012242,757197.4083728718
2021-05-16 00:00:00 UTC,141.88973162967793,22298847.566885743,1542397.945108446
2021-05-17 00:00:00 UTC,137.76261414912037,21153670.223307908,967839.8220262851
2021-05-18 00:00:00 UTC,140.21799820131002,21873960.00230398,992381.6133278571
2021-05-19 00:00:00 UTC,143.53583468945254,22255767.94189003,745746.7501918516
2021-05-20 00:00:00 UTC,119.06452610480332,18753818.68252744,800146.3422360929
2021-05-21 00:00:00 UTC,133.86562305003645,20816455.820285723,984705.4182959757
2021-05-22 00:00:00 UTC,115.31028487281806,18020942.777937338,819394.0382705827
2021-05-23 00:00:00 UTC,110.39768725216756,17259504.021023832,822149.6099430299
2021-05-24 00:00:00 UTC,99.83076078182769,14891147.793809908,1708756.3400374493
2021-05-25 00:00:00 UTC,111.42571554055,17225051.785079874,1770328.7491494734
2021-05-26 00:00:00 UTC,118.9843929183879,18454600.065169416,1107631.301703415
2021-05-27 00:00:00 UTC,119.07981593841012,18490465.5516874,1043045.3481844601
2021-05-28 00:00:00 UTC,114.8207423696669,18024347.611358885,736073.6684273838
2021-05-29 00:00:00 UTC,108.0770633608655,16784323.58547534,1115403.6068033888
2021-05-30 00:00:00 UTC,106.80895633242304,16727193.776584428,1128598.3071106884
2021-05-31 00:00:00 UTC,105.68524589613467,16453520.546636583,787665.9677793442
2021-06-01 00:00:00 UTC,115.58612427728372,17838224.531559993,1582276.615108587
2021-06-02 00:00:00 UTC,114.85211295474056,17918086.12938122,1317635.469290382
2021-06-03 00:00:00 UTC,133.40002452740936,20733771.817751884,1137267.1398501922
2021-06-04 00:00:00 UTC,154.60400119782673,22993279.559040792,1489955.9702740614
2021-06-05 00:00:00 UTC,143.74200020532984,22396553.460812435,1207258.2533758376
2021-06-06 00:00:00 UTC,136.21214731299384,21144964.584439237,1444764.4438381942
2021-06-07 00:00:00 UTC,128.07815485427295,19860363.62128078,1273268.6222507334
2021-06-08 00:00:00 UTC,120.4735453592856,18834482.79249883,974462.3051111419
2021-06-09 00:00:00 UTC,134.23979431060297,20912203.224852797,1995255.062493148
2021-06-10 00:00:00 UTC,137.5756440575864,21596443.69276034,1695274.042537984
2021-06-11 00:00:00 UTC,137.21750220981906,21377486.773399524,1965462.5596193722
2021-06-12 00:00:00 UTC,140.89997236514154,22361510.968937892,1739325.8293317212
2021-06-13 00:00:00 UTC,136.93034348802982,21380623.683524877,1707029.195149268
2021-06-14 00:00:00 UTC,139.7758728057648,21663364.755666465,1834802.3872618603
2021-06-15 00:00:00 UTC,147.0077201300511,22868285.947644822,1567136.8695097328
2021-06-16 00:00:00 UTC,148.11333428343363,23242560.54568234,2564833.910696326
2021-06-17 00:00:00 UTC,157.48066207493767,24372757.616568398,1945655.195049806
2021-06-18 00:00:00 UTC,162.01194165258426,25565198.801213894,2408106.763042233
2021-06-19 00:00:00 UTC,163.1393902899002,25094004.51674455,2335807.644316474
2021-06-20 00:00:00 UTC,160.4257210617162,24985235.91052117,1558888.7640800097
2021-06-21 00:00:00 UTC,154.21128661636422,24037243.14673827,2029627.278535376
2021-06-22 00:00:00 UTC,138.60300249174136,21588986.19848938,2695406.1716488414
2021-06-23 00:00:00 UTC,148.778749942451,23171297.85163647,2365850.0538732694
2021-06-24 00:00:00 UTC,164.21537178506688,25548535.060435493,2698499.413934857
2021-06-25 00:00:00 UTC,168.37543864095605,26156950.7499865,2210092.569250148
2021-06-26 00:00:00 UTC,162.02953976818804,25305554.03217237,1761785.612728562
2021-06-27 00:00:00 UTC,158.8509187448494,24523255.444709722,1210732.8910550456
2021-06-28 00:00:00 UTC,160.2876752072502,24551818.48814605,1617969.6706861586
2021-06-29 00:00:00 UTC,176.30976657732086,27445585.60623457,2237991.925971132
2021-06-30 00:00:00 UTC,177.86007388395967,28575841.206703383,2103310.5624404936
2021-07-01 00:00:00 UTC,189.33437268345546,29753807.2366035,2315261.7617851407
2021-07-02 00:00:00 UTC,186.68258563568253,29058524.058873318,1580146.8434146284
2021-07-03 00:00:00 UTC,195.5314978501613,30452049.036022186,2096167.0975702617
2021-07-04 00:00:00 UTC,209.42711090213496,32268783.499832798,3204818.29213073
2021-07-05 00:00:00 UTC,229.44029680290066,35712161.36185175,4286463.066728589
2021-07-06 00:00:00 UTC,245.50023419611887,38235023.82837043,2744172.8389148414
2021-07-07 00:00:00 UTC,288.3392460803471,44965902.61088039,3433072.608518705
2021-07-08 00:00:00 UTC,257.2848384478412,39802697.70950162,3144907.554348359
2021-07-09 00:00:00 UTC,244.37924992821195,38132045.08697605,2354500.3212845647
2021-07-10 00:00:00 UTC,251.6661231275983,39195319.89892273,1719948.634951978
2021-07-11 00:00:00 UTC,236.64880387222192,36906112.89901641,2309458.2930136807
2021-07-12 00:00:00 UTC,235.30606729008315,36661556.740861624,2171519.0382825797
2021-07-13 00:00:00 UTC,257.15475511734644,40097476.83363082,3676458.2536507193
2021-07-14 00:00:00 UTC,255.490849697705,39967195.57642955,1884245.4772894036
2021-07-15 00:00:00 UTC,267.612517611278,41709768.1402209,2646956.856061311
2021-07-16 00:00:00 UTC,276.83091375297766,43066012.5608637,4120971.143299435
2021-07-17 00:00:00 UTC,275.05093849731117,42826605.011503756,2748148.0797991855
2021-07-18 00:00:00 UTC,231.16759509637444,36121456.23017773,3653436.319256489
2021-07-19 00:00:00 UTC,214.62962868664638,33337982.469393145,2653802.2533551366
2021-07-20 00:00:00 UTC,244.01579388870238,37992089.64273124,4602880.9517283
2021-07-21 00:00:00 UTC,207.43509153282636,32237818.140758008,3557969.3031438617
2021-07-22 00:00:00 UTC,223.50531572037576,34614849.60470739,1484125.9034233189
2021-07-23 00:00:00 UTC,230.65712709359468,36073833.51966564,1248032.099470731
2021-07-24 00:00:00 UTC,244.36608650443836,37900881.821995564,2460904.2857399257
2021-07-25 00:00:00 UTC,238.765938750259,37463812.531999946,2513571.3808158375
2021-07-26 00:00:00 UTC,219.7535645088169,34078753.520183645,2213410.9336387473
2021-07-27 00:00:00 UTC,229.3790211947097,35011986.98525368,2782411.474112577
2021-07-28 00:00:00 UTC,222.7882800169859,34723541.24067482,1912661.5246094589
2021-07-29 00:00:00 UTC,224.86827419303586,34853494.468854524,1806912.7524095576
2021-07-30 00:00:00 UTC,229.24484629452851,35635471.9091368,3912949.171746745
2021-07-31 00:00:00 UTC,227.93052896244134,36579195.10368541,2433301.469343959
2021-08-01 00:00:00 UTC,219.51234761770536,35008172.70076555,3320531.56078726
2021-08-02 00:00:00 UTC,210.11457935869984,33693188.29171314,2723884.703857177
2021-08-03 00:00:00 UTC,217.64541997781294,35014277.169275664,1631515.8977773201
2021-08-04 00:00:00 UTC,219.91227212382842,35311489.154741324,2566765.255486373
2021-08-05 00:00:00 UTC,220.06950998268576,35314912.744521536,2029800.213530735
2021-08-06 00:00:00 UTC,233.38743233823774,37729402.09935319,2076752.2855899942
2021-08-07 00:00:00 UTC,240.16109997446455,39739370.013857625,3178643.324281113
2021-08-08 00:00:00 UTC,230.09813043122313,38047085.633451454,2500485.4201654177
2021-08-09 00:00:00 UTC,215.77681535130125,35687727.663017236,3017958.507543813
2021-08-10 00:00:00 UTC,223.96137721347677,35936762.58425098,3130974.8819248625
2021-08-11 00:00:00 UTC,233.63392344943057,38679107.461352244,3084488.989073734
2021-08-12 00:00:00 UTC,247.6587959087692,40692137.261671625,3682546.111970248
2021-08-13 00:00:00 UTC,240.33393504450748,39891676.61040939,3182505.8142826883
2021-08-14 00:00:00 UTC,258.0690241457479,42250532.89355628,3215466.7880334817
2021-08-15 00:00:00 UTC,244.06938168483123,40401829.68926537,3471740.471347537
2021-08-16 00:00:00 UTC,241.89242368288467,40086714.03178619,4901738.728154518
2021-08-17 00:00:00 UTC,249.80897824261066,41249470.53067726,4269622.262760408
2021-08-18 00:00:00 UTC,246.23144130162413,38917170.76149627,3542159.8596341666
2021-08-19 00:00:00 UTC,253.89217812732295,40010446.00341521,4734022.987532322
2021-08-20 00:00:00 UTC,278.0821554150057,42818604.49358029,5528565.223620525
2021-08-21 00:00:00 UTC,286.99147138118747,44518723.71412051,6164033.875202806
2021-08-22 00:00:00 UTC,310.9400422013214,51499915.32610636,7300487.563870349
2021-08-23 00:00:00 UTC,319.0929769145866,52047307.04042752,4202947.821730229
2021-08-24 00:00:00 UTC,390.8352290960024,65417489.067430474,6196608.612062956
2021-08-25 00:00:00 UTC,408.58455293610115,67819489.95744307,7535822.844584745
2021-08-26 00:00:00 UTC,430.07393614199236,72997686.2760041,10233627.446982117
2021-08-27 00:00:00 UTC,414.4990859395604,68617558.69637012,5462196.595112925
2021-08-28 00:00:00 UTC,423.9649872573799,71254965.23437975,4601481.85548946
2021-08-29 00:00:00 UTC,418.7259776288409,69795662.45880912,8728266.260743301
2021-08-30 00:00:00 UTC,427.5963431310218,70610254.32184811,6693823.830884957
2021-08-31 00:00:00 UTC,441.0622971341768,71968957.81446065,5435732.378621332
2021-09-01 00:00:00 UTC,493.53775079880427,81300561.02691561,8615611.271193374
2021-09-02 00:00:00 UTC,569.2410102906387,94177127.94147508,16217160.38089555
2021-09-03 00:00:00 UTC,611.1219063265274,100892282.87932387,11957972.953982757
2021-09-04 00:00:00 UTC,630.4016091397214,104748079.61773948,8608484.057343602
2021-09-05 00:00:00 UTC,597.0600350709159,98868221.8246293,7795927.344424395
2021-09-06 00:00:00 UTC,573.0727605383441,94943935.57261695,10074165.469050908
2021-09-07 00:00:00 UTC,528.913347877746,87124866.31783482,6164045.985616085
2021-09-08 00:00:00 UTC,527.9136687618478,87385496.56589149,6610331.409878089
2021-09-09 00:00:00 UTC,519.3755601839845,85627485.4516976,6723777.923220674
2021-09-10 00:00:00 UTC,497.61719706384486,82327445.8209404,5775765.093497102
2021-09-11 00:00:00 UTC,463.4669894048625,76911770.1359962,8694764.004902117
2021-09-12 00:00:00 UTC,475.1688942962846,78629639.22422667,7390213.822677099
2021-09-13 00:00:00 UTC,481.212242754202,80220401.75809541,7654053.552503734
